refletencia,erro,massa_ugcm2,erro_ugcm2
100,1.0621918713,0,0.2113738948
95.9,1.0621918713,3.8825563149,0.3147435551
85.6,1.0621918713,10.0050489652,0.6373978088
76.2,1.0621918713,6.2718217394,0.4321150249
70.9,1.0621918713,7.9144417188,0.5204985924
65.6,1.0621918713,9.4077326091,0.6036387132
61.3,1.0621918713,10.6023653214,0.671379527
43.7,1.0621918713,16.8741870608,1.0360470579
27.5,1.0621918713,25.9832614918,1.576048267
27.3,1.0621918713,24.4899706015,1.4871457161
93.8,1.0621918713,1.4932908903,0.2294674896
95.6,1.0621918713,1.3439618013,0.2261072832
98.7,1.0621918713,1.1946327123,0.2230578798
80.7,1.0621918713,5.5251762942,0.393571268
38.5,1.0621918713,19.1141233963,1.1681836999
20.5,1.0621918713,32.5537414093,1.9681451186
16.9,1.0621918713,34.6443486558,2.093127956
12.9,1.0621918713,38.3775758816,2.3164951647
13,1.0621918713,39.5722085939,2.3880136367
9.4,1.0621918713,46.8893339565,2.8263852425
3.1,1.0621918713,74.5152154277,4.4840324444
7.9,1.0621918713,48.5319539359,2.9248552648
16.6,1.0621918713,32.8523995874,1.9859945392
33.8,1.0621918713,20.0100979305,1.2211915515
5.1,1.0621918713,58.5370029011,3.5249494459
36.7,1.0621918713,18.6661361292,1.1417095583
59.1,1.0621918713,10.3037071433,0.6543630024
72.5,1.0621918713,6.4211508284,0.4399679802
